trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.9,5
2,0.5,0.9206055,0.5,0.9510315,0.5,0.8861135,0,0.9,5
3,0.5,0.987393,0.5,0.9952042499999999,0.5,0.97405975,1,0.9,5
4,0.5,0.15678750000000002,0.5,0.22186475,0.5,0.0974673,0,0.9,5
5,0.0793947,0.15678750000000002,0.1138865,0.22186475,0.04896852499999999,0.0974673,1,0.9,5
6,0.8538175,0.15678750000000002,0.9068585,0.22186475,0.79816725,0.0974673,1,0.9,5
7,0.976788,0.15678750000000002,0.9908785,0.22186475,0.95402775,0.0974673,1,0.9,5
8,0.9963139999999999,0.15678750000000002,0.999107,0.22186475,0.98952875,0.0974673,1,0.9,5
9,0.9994145000000001,0.15678750000000002,0.99991225,0.22186475,0.997615,0.0974673,1,0.9,5
10,0.999907,0.15678750000000002,0.999991,0.22186475,0.999457,0.0974673,1,0.9,5
11,0.999985,0.15678750000000002,0.999999,0.22186475,0.999876,0.0974673,1,0.9,5
12,0.999998,0.15678750000000002,1,0.22186475,0.999972,0.0974673,1,0.9,5
13,1,0.15678750000000002,1,0.22186475,0.999994,0.0974673,0,0.9,5
14,0.1587895,0.15678750000000002,0.22777175000000002,0.22186475,0.09793695,0.0974673,1,0.9,5
15,0.8664244999999999,0.15678750000000002,0.91165425,0.22186475,0.82410675,0.0974673,1,0.9,5
16,0.97879,0.15678750000000002,0.9913474999999999,0.22186475,0.959936,0.0974673,0,0.9,5
17,0.155421,0.15678750000000002,0.21864775,0.22186475,0.097089625,0.0974673,0,0.9,5
18,0.02467925,0.15678750000000002,0.049802149999999996,0.22186475,0.00950866,0.0974673,1,0.9,5
19,0.02467925,0.0248962,0.049802149999999996,0.050534925,0.00950866,0.009545647499999999,1,0.9,5
20,0.02467925,0.00395325,0.049802149999999996,0.011510524999999999,0.00950866,9.3487175e-4,1,0.9,5
