trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.9,0.1
2,0.177933,0.5,0.29360725,0.5,0.083838,0.5,0,0.9,0.1
3,0.0633202,0.5,0.17241025000000001,0.5,0.014057575,0.5,1,0.9,0.1
4,0.0633202,0.177933,0.17241025000000001,0.29360725,0.014057575,0.083838,0,0.9,0.1
5,0.0225335,0.177933,0.10124200000000001,0.29360725,0.0023571225,0.083838,1,0.9,0.1
6,0.6521535,0.177933,0.83271925,0.29360725,0.48309075,0.083838,1,0.9,0.1
7,0.6521535,0.0633202,0.83271925,0.17241025000000001,0.48309075,0.014057575,1,0.9,0.1
8,0.6521535,0.0225335,0.83271925,0.10124200000000001,0.48309075,0.0023571225,1,0.9,0.1
9,0.6521535,0.008018895,0.83271925,0.05945065,0.48309075,3.9523325e-4,1,0.9,0.1
10,0.876213,0.008018895,0.971951,0.05945065,0.6900895,3.9523325e-4,1,0.9,0.1
11,0.9559485,0.008018895,0.995297,0.05945065,0.8180165,3.9523325e-4,1,0.9,0.1
12,0.984324,0.008018895,0.999211,0.05945065,0.8931365,3.9523325e-4,1,0.9,0.1
13,0.994421,0.008018895,0.999868,0.05945065,0.9372485000000002,3.9523325e-4,0,0.9,0.1
14,0.994421,0.646988,0.999868,0.8323902499999999,0.9372485000000002,0.46409350000000005,1,0.9,0.1
15,0.9980145,0.646988,0.999978,0.8323902499999999,0.9631509999999999,0.46409350000000005,1,0.9,0.1
16,0.9980145,0.230241,0.999978,0.2628935,0.9631509999999999,0.13957175,0,0.9,0.1
17,0.9980145,0.7260694999999999,0.999978,0.855727,0.9631509999999999,0.56716025,0,0.9,0.1
18,0.35515949999999996,0.7260694999999999,0.542802,0.855727,0.167672,0.56716025,1,0.9,0.1
19,0.35515949999999996,0.25838300000000003,0.542802,0.3330445,0.167672,0.14348475,1,0.9,0.1
20,0.770523,0.25838300000000003,0.860439,0.3330445,0.74494,0.14348475,1,0.9,0.1
21,0.770523,0.0919497,0.860439,0.195569,0.74494,0.024058950000000003,0,0.9,0.1
22,0.770523,0.676856,0.860439,0.83635825,0.74494,0.52762625,1,0.9,0.1
23,0.9183375,0.676856,0.976599,0.83635825,0.8502014999999999,0.52762625,0,0.9,0.1
24,0.326805,0.676856,0.49925025,0.83635825,0.163752,0.52762625,0,0.9,0.1
25,0.326805,0.885004,0.49925025,0.972561,0.163752,0.7226157500000001,1,0.9,0.1
26,0.7604325000000001,0.885004,0.85978125,0.972561,0.70595325,0.7226157500000001,1,0.9,0.1
27,0.9147460000000001,0.885004,0.976489,0.972561,0.8273312500000001,0.7226157500000001,1,0.9,0.1
28,0.969661,0.885004,0.996058,0.972561,0.89860675,0.7226157500000001,0,0.9,0.1
29,0.969661,0.959077,0.996058,0.995399,0.89860675,0.837116,1,0.9,0.1
30,0.9892035,0.959077,0.999339,0.995399,0.94046025,0.837116,0,0.9,0.1
31,0.3520235,0.959077,0.5401752499999999,0.995399,0.167565,0.837116,1,0.9,0.1
32,0.7694075,0.959077,0.860421,0.995399,0.739436,0.837116,0,0.9,0.1
33,0.27380550000000003,0.959077,0.4328215,0.995399,0.14427175,0.837116,1,0.9,0.1
34,0.7415725,0.959077,0.856515,0.995399,0.67332775,0.837116,1,0.9,0.1
35,0.7415725,0.34130249999999995,0.856515,0.4729335,0.67332775,0.16690475,1,0.9,0.1
36,0.7415725,0.121458,0.856515,0.288655,0.67332775,0.02798585,0,0.9,0.1
37,0.2639,0.121458,0.39163925,0.288655,0.143617,0.02798585,1,0.9,0.1
38,0.2639,0.04322265,0.39163925,0.1695025,0.143617,0.0046925625000000006,1,0.9,0.1
39,0.2639,0.01538145,0.39163925,0.09953414999999999,0.143617,7.868295000000001e-4,0,0.9,0.1
40,0.2639,0.649608,0.39163925,0.8324562499999999,0.143617,0.478072,1,0.9,0.1
41,0.2639,0.23117300000000002,0.39163925,0.27671524999999997,0.143617,0.13958275,1,0.9,0.1
42,0.7380475,0.23117300000000002,0.8564052499999999,0.27671524999999997,0.64276175,0.13958275,1,0.9,0.1
43,0.9067799999999999,0.23117300000000002,0.975923,0.27671524999999997,0.7902250000000001,0.13958275,1,0.9,0.1
44,0.9067799999999999,0.08226665,0.975923,0.1624915,0.7902250000000001,0.023404675,0,0.9,0.1
45,0.322692,0.08226665,0.46403099999999997,0.1624915,0.16363875,0.023404675,1,0.9,0.1
46,0.322692,0.02927585,0.46403099999999997,0.09541707499999999,0.16363875,0.003924407499999999,0,0.9,0.1
47,0.11483499999999999,0.02927585,0.272486,0.09541707499999999,0.027438325,0.003924407499999999,0,0.9,0.1
48,0.11483499999999999,0.6545529999999999,0.272486,0.83298225,0.027438325,0.4754435,1,0.9,0.1
49,0.11483499999999999,0.2329325,0.272486,0.27529575,0.027438325,0.139671,0,0.9,0.1
50,0.11483499999999999,0.727027,0.272486,0.8557432500000001,0.027438325,0.57444275,1,0.9,0.1
51,0.11483499999999999,0.25872399999999995,0.272486,0.33732124999999996,0.027438325,0.14348775,1,0.9,0.1
52,0.11483499999999999,0.092071,0.272486,0.19807974999999997,0.027438325,0.024059450000000003,1,0.9,0.1
53,0.11483499999999999,0.0327649,0.272486,0.11631549999999999,0.027438325,0.0040341875,1,0.9,0.1
54,0.685,0.0327649,0.836925,0.11631549999999999,0.584778,0.0040341875,1,0.9,0.1
55,0.685,0.011659949999999999,0.836925,0.06830205,0.584778,6.7643625e-4,1,0.9,0.1
56,0.8879025,0.011659949999999999,0.972656,0.06830205,0.7491385,6.7643625e-4,1,0.9,0.1
57,0.9601085,0.011659949999999999,0.995415,0.06830205,0.85269025,6.7643625e-4,1,0.9,0.1
58,0.9858039999999999,0.011659949999999999,0.999231,0.06830205,0.9134975,6.7643625e-4,1,0.9,0.1
59,0.9858039999999999,0.00414936,0.999231,0.0401079,0.9134975,1.1342225e-4,1,0.9,0.1
60,0.9949479999999999,0.00414936,0.999871,0.0401079,0.9492047499999999,1.1342225e-4,1,0.9,0.1
61,0.998202,0.00414936,0.999978,0.0401079,0.9701722500000001,1.1342225e-4,1,0.9,0.1
62,0.9993605000000001,0.00414936,0.999996,0.0401079,0.98248475,1.1342225e-4,0,0.9,0.1
63,0.355638,0.00414936,0.564075,0.0401079,0.16767575,1.1342225e-4,1,0.9,0.1
64,0.355638,0.0014766150000000001,0.564075,0.023551924999999998,0.16767575,1.9018175e-5,1,0.9,0.1
65,0.355638,5.254765e-4,0.564075,0.01383005,0.16767575,3.1888875e-6,0,0.9,0.1
66,0.355638,0.6443209999999999,0.564075,0.83232425,0.16767575,0.43382125000000005,1,0.9,0.1
67,0.355638,0.219653,0.564075,0.24461775,0.16767575,0.13956074999999998,1,0.9,0.1
68,0.7706934999999999,0.219653,0.86043925,0.24461775,0.753428,0.13956074999999998,0,0.9,0.1
69,0.2742635,0.219653,0.44133050000000007,0.24461775,0.144275,0.13956074999999998,1,0.9,0.1
70,0.2742635,0.0815971,0.44133050000000007,0.14513700000000002,0.144275,0.023400975,1,0.9,0.1
71,0.2742635,0.0290376,0.44133050000000007,0.08522674999999999,0.144275,0.0039237874999999995,1,0.9,0.1
72,0.2742635,0.010333499999999999,0.44133050000000007,0.050046349999999996,0.144275,6.5792425e-4,1,0.9,0.1
73,0.2742635,0.0036773350000000003,0.44133050000000007,0.02938795,0.144275,1.1031825e-4,1,0.9,0.1
74,0.7417355000000001,0.0036773350000000003,0.8565152500000001,0.02938795,0.684445,1.1031825e-4,1,0.9,0.1
75,0.9080925,0.0036773350000000003,0.975941,0.02938795,0.8073597499999999,1.1031825e-4,1,0.9,0.1
76,0.9080925,0.001308635,0.975941,0.017256999999999998,0.8073597499999999,1.8497675000000002e-5,1,0.9,0.1
77,0.967293,0.001308635,0.995966,0.017256999999999998,0.88687825,1.8497675000000002e-5,1,0.9,0.1
78,0.988361,0.001308635,0.999324,0.017256999999999998,0.93357375,1.8497675000000002e-5,1,0.9,0.1
79,0.9958579999999999,0.001308635,0.999887,0.017256999999999998,0.96099325,1.8497675000000002e-5,1,0.9,0.1
80,0.998526,0.001308635,0.999981,0.017256999999999998,0.9770945,1.8497675000000002e-5,1,0.9,0.1
81,0.9994755,0.001308635,0.999997,0.017256999999999998,0.9865499999999999,1.8497675000000002e-5,1,0.9,0.1
82,0.9994755,4.65699e-4,0.999997,0.010133550000000002,0.9865499999999999,3.1016174999999996e-6,1,0.9,0.1
83,0.9994755,1.657265e-4,0.999997,0.0059505800000000005,0.9865499999999999,5.200675e-7,1,0.9,0.1
84,0.999813,1.657265e-4,0.999999,0.0059505800000000005,0.99210175,5.200675e-7,1,0.9,0.1
85,0.999813,5.8976349999999997e-5,0.999999,0.0034942675,0.99210175,8.720274999999998e-8,1,0.9,0.1
86,0.999934,5.8976349999999997e-5,1,0.0034942675,0.99536225,8.720274999999998e-8,1,0.9,0.1
87,0.999976,5.8976349999999997e-5,1,0.0034942675,0.99727625,8.720274999999998e-8,1,0.9,0.1
88,0.999992,5.8976349999999997e-5,1,0.0034942675,0.9984007500000001,8.720274999999998e-8,1,0.9,0.1
89,0.999992,2.098765e-5,1,0.00205188,0.9984007500000001,1.4621825e-8,1,0.9,0.1
90,0.999992,7.46879e-6,1,0.0012048975,0.9984007500000001,2.4517299999999998e-9,1,0.9,0.1
91,0.999997,7.46879e-6,1,0.0012048975,0.99906125,2.4517299999999998e-9,1,0.9,0.1
92,0.999999,7.46879e-6,1,0.0012048975,0.9994485,2.4517299999999998e-9,1,0.9,0.1
93,1,7.46879e-6,1,0.0012048975,0.99967575,2.4517299999999998e-9,1,0.9,0.1
94,1,2.6578850000000002e-6,1,7.0753225e-4,0.99967575,4.1109549999999997e-10,0,0.9,0.1
95,1,0.644135,1,0.83232425,0.99967575,0.42169575,0,0.9,0.1
96,0.3558655,0.644135,0.5789595000000001,0.83232425,0.16767575,0.42169575,1,0.9,0.1
97,0.3558655,0.1978725,0.5789595000000001,0.23909425,0.16767575,0.13956074999999998,1,0.9,0.1
98,0.8025184999999999,0.1978725,0.86043925,0.23909425,0.7610505,0.13956074999999998,1,0.9,0.1
99,0.8025184999999999,0.08157355,0.86043925,0.13595924999999998,0.7610505,0.02340095,1,0.9,0.1
