trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.1,0.1
2,0.5,0.587019,0.5,0.7155955,0.5,0.5269232500000001,0,0.1,0.1
3,0.5,0.6588935,0.5,0.838228,0.5,0.5523965,1,0.1,0.1
4,0.587019,0.6588935,0.7155955,0.838228,0.5269232500000001,0.5523965,0,0.1,0.1
5,0.4848555,0.6588935,0.49855,0.838228,0.40703675,0.5523965,1,0.1,0.1
6,0.5745100000000001,0.6588935,0.6627177499999999,0.838228,0.5255512499999999,0.5523965,1,0.1,0.1
7,0.5745100000000001,0.515271,0.6627177499999999,0.5352939999999999,0.5255512499999999,0.47679150000000003,1,0.1,0.1
8,0.5745100000000001,0.4495055,0.6627177499999999,0.49450900000000003,0.5255512499999999,0.27120299999999997,1,0.1,0.1
9,0.5745100000000001,0.3712745,0.6627177499999999,0.4678815,0.5255512499999999,0.15426325,1,0.1,0.1
10,0.6485615,0.3712745,0.8081507499999999,0.4678815,0.551099,0.15426325,1,0.1,0.1
11,0.6485615,0.3066585,0.8081507499999999,0.44268799999999997,0.551099,0.087746075,1,0.1,0.1
12,0.6485615,0.2532885,0.8081507499999999,0.418851,0.551099,0.049910775000000004,1,0.1,0.1
13,0.6485615,0.209207,0.8081507499999999,0.39629725,0.551099,0.028389724999999998,0,0.1,0.1
14,0.6485615,0.4331695,0.8081507499999999,0.49163075,0.551099,0.3717895,1,0.1,0.1
15,0.6485615,0.2864725,0.8081507499999999,0.405715,0.551099,0.25304075,1,0.1,0.1
16,0.6485615,0.23661549999999998,0.8081507499999999,0.383869,0.551099,0.14473375,0,0.1,0.1
17,0.6485615,0.44475200000000004,0.8081507499999999,0.51351675,0.551099,0.390023,0,0.1,0.1
18,0.6485615,0.493907,0.8081507499999999,0.72328375,0.551099,0.4569565,1,0.1,0.1
19,0.7097255,0.493907,0.8908745,0.72328375,0.57527025,0.4569565,1,0.1,0.1
20,0.7097255,0.4072555,0.8908745,0.4242885,0.57527025,0.39342774999999996,1,0.1,0.1
21,0.7097255,0.3269225,0.8908745,0.40144225,0.57527025,0.23401424999999998,0,0.1,0.1
22,0.5361695,0.3269225,0.5712357499999999,0.40144225,0.50133475,0.23401424999999998,1,0.1,0.1
23,0.6582220000000001,0.3269225,0.71942775,0.40144225,0.5688325000000001,0.23401424999999998,0,0.1,0.1
24,0.5146360000000001,0.3269225,0.54039375,0.40144225,0.40921675,0.23401424999999998,0,0.1,0.1
25,0.5146360000000001,0.475053,0.54039375,0.5643005,0.40921675,0.43776275000000003,1,0.1,0.1
26,0.5146360000000001,0.36677950000000004,0.54039375,0.4103205,0.40921675,0.32097925000000005,1,0.1,0.1
27,0.5146360000000001,0.302946,0.54039375,0.38822599999999996,0.40921675,0.1825755,1,0.1,0.1
28,0.6230855,0.302946,0.6639572499999999,0.38822599999999996,0.56306925,0.1825755,0,0.1,0.1
29,0.6230855,0.45989,0.6639572499999999,0.53504175,0.56306925,0.42251675,1,0.1,0.1
30,0.6886829999999999,0.45989,0.8088555000000001,0.53504175,0.58659625,0.42251675,0,0.1,0.1
31,0.52957,0.45989,0.5618622500000001,0.53504175,0.46008425,0.42251675,1,0.1,0.1
32,0.52957,0.3504225,0.5618622500000001,0.39848925,0.46008425,0.30433675,0,0.1,0.1
33,0.469829,0.3504225,0.515553,0.39848925,0.2617,0.30433675,1,0.1,0.1
34,0.469829,0.289436,0.515553,0.3770325,0.2617,0.1731095,1,0.1,0.1
35,0.5611215,0.289436,0.5800485,0.3770325,0.5506952500000001,0.1731095,1,0.1,0.1
36,0.5611215,0.239063,0.5800485,0.35673099999999996,0.5506952500000001,0.0984661,0,0.1,0.1
37,0.5611215,0.42362449999999996,0.5800485,0.4948775,0.5506952500000001,0.3792135,1,0.1,0.1
38,0.6383099999999999,0.42362449999999996,0.761128,0.4948775,0.5748887500000001,0.3792135,1,0.1,0.1
39,0.7012579999999999,0.42362449999999996,0.8641270000000001,0.4948775,0.597779,0.3792135,0,0.1,0.1
40,0.5433859999999999,0.42362449999999996,0.57355225,0.4948775,0.49152325,0.3792135,1,0.1,0.1
41,0.5433859999999999,0.30684049999999996,0.57355225,0.37029500000000004,0.49152325,0.27712349999999997,1,0.1,0.1
42,0.5433859999999999,0.25343899999999997,0.57355225,0.35035575,0.49152325,0.15763025,1,0.1,0.1
43,0.5433859999999999,0.209331,0.57355225,0.3314905,0.49152325,0.089661475,1,0.1,0.1
44,0.5433859999999999,0.17289949999999998,0.57355225,0.313641,0.49152325,0.051000275000000005,0,0.1,0.1
45,0.4784075,0.17289949999999998,0.5232315,0.313641,0.27958275,0.051000275000000005,1,0.1,0.1
46,0.4784075,0.1428085,0.5232315,0.29675225,0.27958275,0.029009375000000004,0,0.1,0.1
47,0.395146,0.1428085,0.5029305,0.29675225,0.15902925,0.029009375000000004,0,0.1,0.1
48,0.32637550000000004,0.1428085,0.479057,0.29675225,0.09045720000000002,0.029009375000000004,1,0.1,0.1
49,0.501933,0.1428085,0.512601,0.29675225,0.4557655,0.029009375000000004,0,0.1,0.1
50,0.36640700000000004,0.1428085,0.4798025,0.29675225,0.27453225000000003,0.029009375000000004,1,0.1,0.1
51,0.50971,0.1428085,0.5873475,0.29675225,0.49288875,0.029009375000000004,1,0.1,0.1
52,0.50971,0.117954,0.5873475,0.28077300000000005,0.49288875,0.0165008,1,0.1,0.1
53,0.5677544999999999,0.117954,0.7652792500000001,0.28077300000000005,0.53431525,0.0165008,1,0.1,0.1
54,0.6429819999999999,0.117954,0.86648875,0.28077300000000005,0.559391,0.0165008,1,0.1,0.1
55,0.705116,0.117954,0.92405775,0.28077300000000005,0.583116,0.0165008,1,0.1,0.1
56,0.7564375000000001,0.117954,0.9568030000000001,0.28077300000000005,0.6055635,0.0165008,1,0.1,0.1
57,0.7988265,0.117954,0.9754292499999999,0.28077300000000005,0.6268025,0.0165008,1,0.1,0.1
58,0.7988265,0.0974256,0.9754292499999999,0.26565425,0.6268025,0.0093858025,1,0.1,0.1
59,0.7988265,0.08046985000000001,0.9754292499999999,0.25135025,0.6268025,0.005338725000000001,1,0.1,0.1
60,0.7988265,0.06646505,0.9754292499999999,0.23781575000000002,0.6268025,0.00303672,1,0.1,0.1
61,0.7988265,0.054897600000000005,0.9754292499999999,0.22501000000000002,0.6268025,0.0017273125000000001,1,0.1,0.1
62,0.7988265,0.04534335,0.9754292499999999,0.21289425,0.6268025,9.825102500000001e-4,0,0.1,0.1
63,0.7988265,0.32467250000000003,0.9754292499999999,0.46876975,0.6268025,0.22961,1,0.1,0.1
64,0.8338384999999999,0.32467250000000003,0.986024,0.46876975,0.64689825,0.22961,1,0.1,0.1
65,0.862757,0.32467250000000003,0.9920505000000001,0.46876975,0.6659115,0.22961,0,0.1,0.1
66,0.862757,0.419118,0.9920505000000001,0.676774,0.6659115,0.31599075,1,0.1,0.1
67,0.862757,0.31676150000000003,0.9920505000000001,0.37219925000000004,0.6659115,0.265551,1,0.1,0.1
68,0.862757,0.24029250000000002,0.9920505000000001,0.264424,0.6659115,0.218966,0,0.1,0.1
69,0.862757,0.418559,0.9920505000000001,0.555741,0.6659115,0.33078825,1,0.1,0.1
70,0.8866425,0.418559,0.99547825,0.555741,0.6839002500000001,0.33078825,1,0.1,0.1
71,0.906371,0.418559,0.9974282499999999,0.555741,0.7009215,0.33078825,1,0.1,0.1
72,0.922666,0.418559,0.998537,0.555741,0.7170259999999999,0.33078825,1,0.1,0.1
73,0.922666,0.30398499999999995,0.998537,0.33067325000000003,0.7170259999999999,0.27677725,1,0.1,0.1
74,0.9361250000000001,0.30398499999999995,0.999168,0.33067325000000003,0.732263,0.27677725,1,0.1,0.1
75,0.9472415000000001,0.30398499999999995,0.999527,0.33067325000000003,0.74667925,0.27677725,1,0.1,0.1
76,0.9564235,0.30398499999999995,0.999731,0.33067325000000003,0.76032,0.27677725,1,0.1,0.1
77,0.964008,0.30398499999999995,0.999847,0.33067325000000003,0.77322575,0.27677725,1,0.1,0.1
78,0.964008,0.249271,0.999847,0.27217175000000005,0.77322575,0.17980649999999998,1,0.1,0.1
79,0.9702715,0.249271,0.999913,0.27217175000000005,0.785437,0.17980649999999998,1,0.1,0.1
80,0.9702715,0.2087905,0.999913,0.257516,0.785437,0.10227575,1,0.1,0.1
81,0.9702715,0.1724525,0.999913,0.24364975,0.785437,0.058175174999999996,1,0.1,0.1
82,0.9702715,0.1424395,0.999913,0.23053025000000002,0.785437,0.033090549999999996,1,0.1,0.1
83,0.975445,0.1424395,0.99995,0.23053025000000002,0.79699025,0.033090549999999996,1,0.1,0.1
84,0.975445,0.11764949999999999,0.99995,0.218117,0.79699025,0.01882225,1,0.1,0.1
85,0.9797184999999999,0.11764949999999999,0.999972,0.218117,0.807922,0.01882225,1,0.1,0.1
86,0.9832485,0.11764949999999999,0.999984,0.218117,0.818264,0.01882225,1,0.1,0.1
