trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.8,2
2,0.5,0.8204095,0.5,0.87477875,0.5,0.76689325,0,0.8,2
3,0.5,0.9354945,0.5,0.9686392500000001,0.5,0.8913225,1,0.8,2
4,0.8204095,0.9354945,0.87477875,0.9686392500000001,0.76689325,0.8913225,0,0.8,2
5,0.8204095,0.976831,0.87477875,0.9921455000000001,0.76689325,0.949333,1,0.8,2
6,0.9354945,0.976831,0.9686392500000001,0.9921455000000001,0.8913225,0.949333,1,0.8,2
7,0.9354945,0.3508585,0.9686392500000001,0.44259174999999995,0.8913225,0.24847650000000002,1,0.8,2
8,0.9354945,0.1260215,0.9686392500000001,0.20634199999999997,0.8913225,0.0622292,1,0.8,2
9,0.976831,0.1260215,0.9921455000000001,0.20634199999999997,0.949333,0.0622292,1,0.8,2
10,0.9916780000000001,0.1260215,0.99803325,0.20634199999999997,0.9763782500000001,0.0622292,1,0.8,2
11,0.9970110000000001,0.1260215,0.9995072500000001,0.20634199999999997,0.9889877499999999,0.0622292,1,0.8,2
12,0.9970110000000001,0.04526445,0.9995072500000001,0.096199275,0.9889877499999999,0.01558485,1,0.8,2
13,0.9989265,0.04526445,0.999877,0.096199275,0.9948655,0.01558485,0,0.8,2
14,0.358795,0.04526445,0.4638195,0.096199275,0.25041224999999995,0.01558485,1,0.8,2
15,0.769692,0.04526445,0.8122707499999999,0.096199275,0.7527042500000001,0.01558485,1,0.8,2
16,0.917278,0.04526445,0.9529847499999999,0.096199275,0.883459,0.01558485,0,0.8,2
17,0.3294685,0.04526445,0.41188025,0.096199275,0.23866825,0.01558485,0,0.8,2
18,0.3294685,0.657078,0.41188025,0.75346025,0.23866825,0.57863675,1,0.8,2
19,0.3294685,0.236009,0.41188025,0.26976775,0.23866825,0.188699,1,0.8,2
20,0.759158,0.236009,0.80933,0.26976775,0.7258107500000001,0.188699,1,0.8,2
21,0.9134945,0.236009,0.95224775,0.26976775,0.87216925,0.188699,0,0.8,2
22,0.3281095,0.236009,0.40661674999999997,0.26976775,0.23848400000000003,0.188699,1,0.8,2
23,0.75867,0.236009,0.80928325,0.26976775,0.7233572500000001,0.188699,0,0.8,2
24,0.272499,0.236009,0.33723875000000003,0.26976775,0.20267925,0.188699,0,0.8,2
25,0.272499,0.7255895,0.33723875000000003,0.796815,0.20267925,0.65955625,1,0.8,2
26,0.272499,0.26061749999999995,0.33723875000000003,0.30749374999999995,0.20267925,0.1995565,1,0.8,2
27,0.272499,0.09360865,0.33723875000000003,0.14335775,0.20267925,0.049977675,1,0.8,2
28,0.272499,0.03362245,0.33723875000000003,0.06683512500000001,0.20267925,0.0125166,0,0.8,2
29,0.0978764,0.03362245,0.157225,0.06683512500000001,0.050759700000000005,0.0125166,1,0.8,2
30,0.0978764,0.0120765,0.157225,0.031159450000000002,0.050759700000000005,0.0031346900000000003,0,0.8,2
31,0.0351553,0.0120765,0.073300275,0.031159450000000002,0.012712399999999999,0.0031346900000000003,1,0.8,2
32,0.653447,0.0120765,0.7527405,0.031159450000000002,0.56796075,0.0031346900000000003,0,0.8,2
33,0.234705,0.0120765,0.26479025,0.031159450000000002,0.188519,0.0031346900000000003,1,0.8,2
34,0.7251215,0.0120765,0.79677,0.031159450000000002,0.65723575,0.0031346900000000003,1,0.8,2
35,0.9012690000000001,0.0120765,0.94910225,0.031159450000000002,0.84019875,0.0031346900000000003,1,0.8,2
36,0.9645375,0.0120765,0.987253,0.031159450000000002,0.9254985,0.0031346900000000003,0,0.8,2
37,0.346443,0.0120765,0.43147925,0.031159450000000002,0.24725075,0.0031346900000000003,1,0.8,2
38,0.7652555,0.0120765,0.8114790000000001,0.031159450000000002,0.7349485,0.0031346900000000003,1,0.8,2
39,0.9156845,0.0120765,0.952786,0.031159450000000002,0.87642925,0.0031346900000000003,0,0.8,2
40,0.32889599999999997,0.0120765,0.40860275,0.031159450000000002,0.23861900000000003,0.0031346900000000003,1,0.8,2
41,0.7589524999999999,0.0120765,0.80931725,0.031159450000000002,0.7242832499999999,0.0031346900000000003,1,0.8,2
42,0.9134205,0.0120765,0.95224475,0.031159450000000002,0.871457,0.0031346900000000003,1,0.8,2
43,0.9134205,0.00433765,0.95224475,0.0145269,0.871457,7.8506175e-4,1,0.8,2
44,0.9689025,0.00433765,0.98803975,0.0145269,0.94007175,7.8506175e-4,0,0.8,2
45,0.3480105,0.00433765,0.43827374999999996,0.0145269,0.24744775,7.8506175e-4,1,0.8,2
46,0.3480105,0.001558,0.43827374999999996,0.0067726374999999995,0.24744775,1.9661325e-4,0,0.8,2
47,0.3480105,0.6413795,0.43827374999999996,0.7496057500000001,0.24744775,0.5369444999999999,0,0.8,2
48,0.3480105,0.8711905,0.43827374999999996,0.93729075,0.24744775,0.78411725,1,0.8,2
49,0.765818,0.8711905,0.81152875,0.93729075,0.738116,0.78411725,0,0.8,2
50,0.765818,0.953734,0.81152875,0.9842949999999999,0.738116,0.89935275,1,0.8,2
51,0.765818,0.3425625,0.81152875,0.41929,0.738116,0.24650975,1,0.8,2
52,0.765818,0.1230415,0.81152875,0.19547875,0.738116,0.06173675,1,0.8,2
53,0.9158865,0.1230415,0.95279875,0.19547875,0.8779064999999999,0.06173675,1,0.8,2
54,0.969788,0.1230415,0.98817875,0.19547875,0.94307825,0.06173675,1,0.8,2
