trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.8,0.4
2,0.17454750000000002,0.5,0.2864425,0.5,0.08216595,0.5,0,0.8,0.4
3,0.0609337,0.5,0.16409825,0.5,0.013502525000000001,0.5,1,0.8,0.4
4,0.0609337,0.17454750000000002,0.16409825,0.2864425,0.013502525000000001,0.08216595,0,0.8,0.4
5,0.02127165,0.17454750000000002,0.09400950000000001,0.2864425,0.00221889,0.08216595,1,0.8,0.4
6,0.658331,0.17454750000000002,0.83603275,0.2864425,0.48717075,0.08216595,1,0.8,0.4
7,0.658331,0.0609337,0.83603275,0.16409825,0.48717075,0.013502525000000001,1,0.8,0.4
8,0.658331,0.02127165,0.83603275,0.09400950000000001,0.48717075,0.00221889,1,0.8,0.4
9,0.658331,0.00742583,0.83603275,0.0538566,0.48717075,3.6463450000000003e-4,1,0.8,0.4
10,0.880725,0.00742583,0.9730545,0.0538566,0.7026565,3.6463450000000003e-4,1,0.8,0.4
11,0.958362,0.00742583,0.99557175,0.0538566,0.82965625,3.6463450000000003e-4,1,0.8,0.4
12,0.9854639999999999,0.00742583,0.9992725,0.0538566,0.90241275,3.6463450000000003e-4,1,0.8,0.4
13,0.9949254999999999,0.00742583,0.9998802499999999,0.0538566,0.944094,3.6463450000000003e-4,0,0.8,0.4
14,0.9949254999999999,0.6534975000000001,0.9998802499999999,0.835728,0.944094,0.4678285,1,0.8,0.4
15,0.9982285,0.6534975000000001,0.99998,0.835728,0.9679725,0.4678285,1,0.8,0.4
16,0.9982285,0.22813250000000002,0.99998,0.26236349999999997,0.9679725,0.13733650000000003,0,0.8,0.4
17,0.9982285,0.730545,0.99998,0.8582369999999999,0.9679725,0.5774192499999999,0,0.8,0.4
18,0.3484765,0.730545,0.53818875,0.8582369999999999,0.16432875000000002,0.5774192499999999,1,0.8,0.4
19,0.3484765,0.25503,0.53818875,0.33079425,0.16432875000000002,0.14103549999999998,1,0.8,0.4
20,0.7725565000000001,0.25503,0.8626725,0.33079425,0.745062,0.14103549999999998,1,0.8,0.4
21,0.7725565000000001,0.0890296,0.8626725,0.18950725000000002,0.745062,0.0231767,0,0.8,0.4
22,0.7725565000000001,0.6819850000000001,0.8626725,0.839477,0.745062,0.53568125,1,0.8,0.4
23,0.920601,0.6819850000000001,0.977433,0.839477,0.8538005,0.53568125,0,0.8,0.4
24,0.3213775,0.6819850000000001,0.48912925000000007,0.839477,0.160623,0.53568125,0,0.8,0.4
25,0.3213775,0.8889819999999999,0.48912925000000007,0.9736210000000001,0.160623,0.73399875,1,0.8,0.4
26,0.763096,0.8889819999999999,0.862064,0.9736210000000001,0.70732975,0.73399875,1,0.8,0.4
27,0.917298,0.8889819999999999,0.977333,0.9736210000000001,0.8323335000000001,0.73399875,1,0.8,0.4
28,0.9711295,0.8889819999999999,0.996275,0.9736210000000001,0.9039465,0.73399875,0,0.8,0.4
29,0.9711295,0.9612445000000001,0.996275,0.9956655,0.9039465,0.847612,1,0.8,0.4
30,0.9899215,0.9612445000000001,0.9993875,0.9956655,0.9449722500000001,0.847612,0,0.8,0.4
31,0.3455765,0.9612445000000001,0.53414825,0.9956655,0.164231,0.847612,1,0.8,0.4
32,0.771544,0.9612445000000001,0.8626565,0.9956655,0.739912,0.847612,0,0.8,0.4
33,0.26934199999999997,0.9612445000000001,0.4223605,0.9956655,0.141762,0.847612,1,0.8,0.4
34,0.744931,0.9612445000000001,0.8589645,0.9956655,0.67528375,0.847612,1,0.8,0.4
35,0.744931,0.33556600000000003,0.8589645,0.470894,0.67528375,0.1636195,1,0.8,0.4
36,0.744931,0.11714450000000001,0.8589645,0.278184,0.67528375,0.026887875,0,0.8,0.4
37,0.260052,0.11714450000000001,0.38330525,0.278184,0.14115525,0.026887875,1,0.8,0.4
38,0.260052,0.0408945,0.38330525,0.15936699999999998,0.14115525,0.0044185425,1,0.8,0.4
39,0.260052,0.0142761,0.38330525,0.09129904999999999,0.14115525,7.2610725e-4,0,0.8,0.4
40,0.260052,0.6558889999999999,0.38330525,0.8357870000000001,0.14115525,0.4832335,1,0.8,0.4
41,0.260052,0.2289675,0.38330525,0.27465175000000003,0.14115525,0.13734649999999998,1,0.8,0.4
