trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.1,5
2,0.5,0.60175,0.5,0.636388,0.5,0.574437,0,0.1,5
3,0.5,0.6827945,0.5,0.73557275,0.5,0.637792,1,0.1,5
4,0.5,0.5402435,0.5,0.54342575,0.5,0.53125425,0,0.1,5
5,0.5,0.636673,0.5,0.661787,0.5,0.61090075,1,0.1,5
6,0.5,0.50711,0.5,0.51943175,0.5,0.481267,1,0.1,5
7,0.5,0.40391299999999997,0.5,0.442546,0.5,0.3499885,1,0.1,5
8,0.60175,0.40391299999999997,0.636388,0.442546,0.574437,0.3499885,1,0.1,5
9,0.6827945,0.40391299999999997,0.73557275,0.442546,0.637792,0.3499885,1,0.1,5
10,0.7473460000000001,0.40391299999999997,0.8077025,0.442546,0.69171575,0.3499885,1,0.1,5
11,0.7473460000000001,0.3217165,0.8077025,0.37666225,0.69171575,0.25451999999999997,1,0.1,5
12,0.798761,0.3217165,0.860157,0.37666225,0.737611,0.25451999999999997,1,0.1,5
13,0.8397135,0.3217165,0.8983025,0.37666225,0.77667375,0.25451999999999997,0,0.1,5
14,0.65804,0.3217165,0.6664125,0.37666225,0.63559525,0.25451999999999997,1,0.1,5
15,0.736224,0.3217165,0.746287,0.37666225,0.7115087499999999,0.25451999999999997,1,0.1,5
16,0.7899025,0.3217165,0.8166285,0.37666225,0.7544577499999999,0.25451999999999997,0,0.1,5
17,0.624862,0.3217165,0.638442,0.37666225,0.5920700000000001,0.25451999999999997,0,0.1,5
18,0.501123,0.3217165,0.5460375,0.37666225,0.43187749999999997,0.25451999999999997,1,0.1,5
19,0.602266,0.3217165,0.612147,0.37666225,0.58898325,0.25451999999999997,1,0.1,5
20,0.6835070000000001,0.3217165,0.6995462499999999,0.37666225,0.671507,0.25451999999999997,1,0.1,5
21,0.7479135,0.3217165,0.7815030000000001,0.37666225,0.720411,0.25451999999999997,0,0.1,5
22,0.5948565,0.3217165,0.61141125,0.37666225,0.56805,0.25451999999999997,1,0.1,5
23,0.6779850000000001,0.3217165,0.6860775,0.37666225,0.670751,0.25451999999999997,0,0.1,5
24,0.5400149999999999,0.3217165,0.5704135,0.37666225,0.49893175,0.25451999999999997,0,0.1,5
25,0.5400149999999999,0.464831,0.5704135,0.4750275,0.49893175,0.45897675000000004,1,0.1,5
26,0.634396,0.464831,0.635611,0.4750275,0.63368675,0.45897675000000004,1,0.1,5
27,0.7081805,0.464831,0.735008,0.4750275,0.689149,0.45897675000000004,1,0.1,5
28,0.7081805,0.36618850000000003,0.735008,0.39957025,0.689149,0.33297325,0,0.1,5
29,0.5639615,0.36618850000000003,0.5859935000000001,0.39957025,0.534515,0.33297325,1,0.1,5
30,0.5639615,0.291669,0.5859935000000001,0.340085,0.534515,0.24214650000000001,0,0.1,5
31,0.5639615,0.44196,0.5859935000000001,0.45605,0.534515,0.43684750000000006,1,0.1,5
32,0.6527780000000001,0.44196,0.66148875,0.45605,0.648104,0.43684750000000006,0,0.1,5
33,0.6527780000000001,0.550627,0.66148875,0.5992062499999999,0.648104,0.521947,1,0.1,5
34,0.723438,0.550627,0.75382625,0.5992062499999999,0.700492,0.521947,1,0.1,5
35,0.7797185,0.550627,0.82097675,0.5992062499999999,0.745081,0.521947,1,0.1,5
36,0.7797185,0.4385735,0.82097675,0.444243,0.745081,0.4357565,0,0.1,5
37,0.620351,0.4385735,0.63299875,0.444243,0.5967067500000001,0.4357565,1,0.1,5
38,0.6981625,0.4385735,0.70695325,0.444243,0.688622,0.4357565,1,0.1,5
39,0.759587,0.4385735,0.7868895,0.444243,0.734978,0.4357565,0,0.1,5
40,0.604623,0.4385735,0.62474,0.444243,0.57224475,0.4357565,1,0.1,5
41,0.6853914999999999,0.4385735,0.6889265,0.444243,0.681304,0.4357565,1,0.1,5
42,0.7494145000000001,0.4385735,0.7737800000000001,0.444243,0.728749,0.4357565,1,0.1,5
43,0.8004085,0.4385735,0.83548775,0.444243,0.7691317500000001,0.4357565,1,0.1,5
44,0.8410249999999999,0.4385735,0.88036225,0.444243,0.8035017500000001,0.4357565,0,0.1,5
45,0.8410249999999999,0.552824,0.88036225,0.58966925,0.8035017500000001,0.52698075,1,0.1,5
46,0.8733765,0.552824,0.9129970000000001,0.58966925,0.832755,0.52698075,0,0.1,5
47,0.6936640000000001,0.552824,0.706303,0.58966925,0.6627697499999999,0.52698075,0,0.1,5
48,0.5540805,0.552824,0.6031425,0.58966925,0.48284225,0.52698075,1,0.1,5
49,0.6448915,0.552824,0.66164275,0.58966925,0.6249495,0.52698075,0,0.1,5
50,0.513603,0.552824,0.563722,0.58966925,0.45372225,0.52698075,1,0.1,5
51,0.616424,0.552824,0.6312332500000001,0.58966925,0.6062895,0.52698075,1,0.1,5
52,0.616424,0.4403245,0.6312332500000001,0.448527,0.6062895,0.42882149999999997,1,0.1,5
53,0.616424,0.350718,0.6312332500000001,0.381753,0.6062895,0.31184900000000004,1,0.1,5
54,0.691424,0.350718,0.71109925,0.381753,0.683953,0.31184900000000004,1,0.1,5
55,0.7542195,0.350718,0.7899045,0.381753,0.73100475,0.31184900000000004,1,0.1,5
56,0.804236,0.350718,0.84721325,0.381753,0.771051,0.31184900000000004,1,0.1,5
57,0.844074,0.350718,0.88889025,0.381753,0.8051357499999999,0.31184900000000004,1,0.1,5
58,0.875805,0.350718,0.9191985,0.381753,0.83414575,0.31184900000000004,1,0.1,5
59,0.9010785,0.350718,0.94123875,0.381753,0.858837,0.31184900000000004,1,0.1,5
60,0.92120899999999994,0.350718,0.95726775,0.381753,0.8798527500000001,0.31184900000000004,1,0.1,5
61,0.937243,0.350718,0.9689240000000001,0.381753,0.8977397500000001,0.31184900000000004,1,0.1,5
62,0.9500139999999999,0.350718,0.97740125,0.381753,0.91296375,0.31184900000000004,0,0.1,5
63,0.754365,0.350718,0.7737762499999999,0.381753,0.7101459999999999,0.31184900000000004,1,0.1,5
