trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice,alpha,tau
1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.2,0.4
2,0.5,0.553373,0.5,0.64356925,0.5,0.521535,0,0.2,0.4
3,0.5,0.6010485,0.5,0.7459142499999999,0.5,0.54214275,1,0.2,0.4
4,0.553373,0.6010485,0.64356925,0.7459142499999999,0.521535,0.54214275,0,0.2,0.4
5,0.4943025,0.6010485,0.49907225,0.7459142499999999,0.45877575000000004,0.54214275,1,0.2,0.4
6,0.548284,0.6010485,0.61418225,0.7459142499999999,0.52064725,0.54214275,1,0.2,0.4
7,0.548284,0.5207685,0.61418225,0.53570475,0.52064725,0.50628625,1,0.2,0.4
8,0.548284,0.4795785,0.61418225,0.496448,0.52064725,0.3790525,1,0.2,0.4
9,0.548284,0.4283855,0.61418225,0.475066,0.52064725,0.27021175,1,0.2,0.4
10,0.596502,0.4283855,0.724965,0.475066,0.54129325,0.27021175,1,0.2,0.4
11,0.596502,0.3826575,0.724965,0.454605,0.54129325,0.19262374999999998,1,0.2,0.4
12,0.596502,0.3418105,0.724965,0.4350255,0.54129325,0.13731375,1,0.2,0.4
13,0.596502,0.30532349999999997,0.724965,0.41628875,0.54129325,0.09788595,0,0.2,0.4
14,0.596502,0.4232355,0.724965,0.46893375,0.54129325,0.371835,1,0.2,0.4
15,0.596502,0.33897,0.724965,0.42241625,0.54129325,0.254605,1,0.2,0.4
16,0.596502,0.302786,0.724965,0.40422325,0.54129325,0.18137499999999998,0,0.2,0.4
17,0.596502,0.42673099999999997,0.724965,0.47351775,0.54129325,0.38648075,0,0.2,0.4
18,0.596502,0.47209100000000004,0.724965,0.583998,0.54129325,0.449833,1,0.2,0.4
19,0.6395740000000001,0.47209100000000004,0.8039385000000001,0.583998,0.5610495,0.449833,1,0.2,0.4
20,0.6395740000000001,0.41228750000000003,0.8039385000000001,0.43486575000000005,0.5610495,0.3959115,1,0.2,0.4
