trial,value1_median,value2_median,value1_3rd_quartile,value2_3rd_quartile,value1_1st_quartile,value2_1st_quartile,hider_choice
1,0.5,0.5,0.5,0.5,0.5,0.5,0
2,0.5,0.755863,0.5,0.878828,0.5,0.6201685,0
3,0.5,0.8807944999999999,0.5,0.9706352500000001,0.5,0.7114564999999999,1
4,0.5,0.430068,0.5,0.52419925,0.5,0.23522700000000002,0
5,0.244137,0.430068,0.3798315,0.52419925,0.121172,0.23522700000000002,1
6,0.630932,0.430068,0.78702175,0.52419925,0.52888125,0.23522700000000002,1
7,0.8197945,0.430068,0.9483865,0.52419925,0.6421082499999999,0.23522700000000002,1
8,0.91201,0.430068,0.987492,0.52419925,0.72812325,0.23522700000000002,1
9,0.957037,0.430068,0.99696875,0.52419925,0.79346525,0.23522700000000002,1
10,0.9790225,0.430068,0.9992655,0.52419925,0.8431035,0.23522700000000002,1
11,0.9897575000000001,0.430068,0.999822,0.52419925,0.8808115000000001,0.23522700000000002,1
12,0.9949985,0.430068,0.999957,0.52419925,0.90945675,0.23522700000000002,1
13,0.997558,0.430068,0.99999,0.52419925,0.931218,0.23522700000000002,0
14,0.4870805,0.430068,0.65175125,0.52419925,0.242341,0.23522700000000002,1
15,0.769177,0.430068,0.8163865,0.52419925,0.75149575,0.23522700000000002,1
16,0.8777145,0.430068,0.9555025,0.52419925,0.831151,0.23522700000000002,0
17,0.4285645,0.430068,0.596921,0.52419925,0.23156,0.23522700000000002,0
18,0.2092565,0.430068,0.47964625,0.52419925,0.05611695,0.23522700000000002,1
19,0.2092565,0.20999099999999998,0.47964625,0.4105725,0.05611695,0.057005675000000006,1
20,0.2092565,0.1025325,0.47964625,0.3118965,0.05611695,0.013815000000000001,1
21,0.640844,0.1025325,0.7712565,0.3118965,0.599634,0.013815000000000001,0
22,0.2997515,0.1025325,0.459373,0.3118965,0.18690875,0.013815000000000001,1
23,0.6580874999999999,0.1025325,0.802953,0.3118965,0.60385925,0.013815000000000001,0
24,0.3213265,0.1025325,0.447674,0.3118965,0.19459025000000002,0.013815000000000001,0
25,0.3213265,0.5617909999999999,0.447674,0.76100425,0.19459025000000002,0.491422,1
26,0.3213265,0.27430750000000004,0.447674,0.362567,0.19459025000000002,0.18442475,1
27,0.3213265,0.133937,0.447674,0.27542875,0.19459025000000002,0.044694050000000006,1
28,0.6686215,0.133937,0.80481425,0.27542875,0.596429,0.044694050000000006,0
29,0.32647,0.133937,0.44092224999999996,0.27542875,0.195041,0.044694050000000006,1
30,0.32647,0.0653978,0.44092224999999996,0.2092325,0.195041,0.0108313,0
31,0.1594065,0.0653978,0.334952,0.2092325,0.047267025,0.0108313,1
32,0.589561,0.0653978,0.7691115000000001,0.2092325,0.52437375,0.0108313,0
33,0.287867,0.0653978,0.37587224999999996,0.2092325,0.18638899999999997,0.0108313,1
34,0.6522844999999999,0.0653978,0.802827,0.2092325,0.54646525,0.0108313,1
35,0.8302195,0.0653978,0.95221625,0.2092325,0.639824,0.0108313,1
36,0.9171009999999999,0.0653978,0.98841975,0.2092325,0.72638725,0.0108313,0
37,0.4477955,0.0653978,0.54872225,0.2092325,0.23953724999999998,0.0108313,1
38,0.7303735,0.0653978,0.815707,0.2092325,0.65952625,0.0108313,1
39,0.8683485,0.0653978,0.95533775,0.2092325,0.74135525,0.0108313,0
40,0.4239915,0.0653978,0.55410425,0.2092325,0.23152,0.0108313,1
41,0.71875,0.0653978,0.813764,0.2092325,0.66816425,0.0108313,1
42,0.8626735,0.0653978,0.954867,0.2092325,0.74791625,0.0108313,1
43,0.932947,0.0653978,0.98906225,0.2092325,0.8085015,0.0108313,1
44,0.96726,0.0653978,0.99734925,0.2092325,0.85452575,0.0108313,0
45,0.472287,0.0653978,0.6227147500000001,0.2092325,0.24170125,0.0108313,1
46,0.472287,0.03193195,0.6227147500000001,0.1589465,0.24170125,0.0026248975,0
47,0.472287,0.5273185,0.6227147500000001,0.7582927500000001,0.24170125,0.40214725,0
